official_pinyin,official_Chinese,official_translation,Institution 1,Institution 2,Institution 3
zhi fang si lang zhong,職方司郎中,"Director of the Bureau of Operations, the Ministry of War",中央中樞官署類,六部門,兵部
zhi fang si yuan wai lang,職方司員外郎,"Vice Director of the Bureau of Operations, the Ministry of War",中央中樞官署類,六部門,兵部
zhi fang si zhu shi,職方司主事,"Secretary of the Bureau of Operations, the Ministry of War",中央中樞官署類,六部門,兵部
xing bu bi bu lang zhong,刑部比部郎中,,中央中樞官署類,六部門,刑部
xing bu bi bu yuan wai lang,刑部比部員外郎,,中央中樞官署類,六部門,刑部
xing bu bi bu zhu shi,刑部比部主事,,中央中樞官署類,六部門,刑部
xing bu du guan bu lang zhong,刑部都官部郎中,,中央中樞官署類,六部門,刑部
xing bu du guan bu yuan wai lang,刑部都官部員外郎,,中央中樞官署類,六部門,刑部
xing bu du guan bu zhu shi,刑部都官部主事,"Secretary of the Criminal Administration Bureau, the Ministry of Justice",中央中樞官署類,六部門,刑部
xing bu fu jian si lang zhong,刑部福建司郎中,,中央中樞官署類,六部門,刑部
xing bu fu jian si yuan wai lang,刑部福建司員外郎,Vice Director of the Fujian Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu fu jian si zhu shi,刑部福建司主事,Secretary of the Fujian Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu guang dong qing li si zhu shi,刑部廣東清吏司主事,Secretary of the Guangdong Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu guang dong si lang zhong,刑部廣東司郎中,,中央中樞官署類,六部門,刑部
xing bu guang dong si yuan wai lang,刑部廣東司員外郎,Vice Director of the Guangdong Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu guang dong si zhu shi,刑部廣東司主事,Secretary of the Guangdong Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu guang xi si lang zhong,刑部廣西司郎中,,中央中樞官署類,六部門,刑部
xing bu guang xi si yuan wai lang,刑部廣西司員外郎,,中央中樞官署類,六部門,刑部
xing bu guang xi si zhu shi,刑部廣西司主事,Secretary of the Guangxi Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu gui zhou si lang zhong,刑部貴州司郎中,Director of the Guizhou Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu gui zhou si yuan wai lang,刑部貴州司員外郎,Vice Director of the Guizhou Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu gui zhou si zhu shi,刑部貴州司主事,Secretary of the Guizhou Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu he nan si lang zhong,刑部河南司郎中,Director of the Henan Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu he nan si yuan wai lang,刑部河南司員外郎,Vice Director of the Henan Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu he nan si zhu shi,刑部河南司主事,Secretary of the Henan Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu hu guang si lang zhong,刑部湖廣司郎中,Director of the Huguang Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu hu guang si yuan wai lang,刑部湖廣司員外郎,Vice Director of the Huguang Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu hu guang si zhu shi,刑部湖廣司主事,Secretary of the Huguang Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu jiang xi si lang zhong,刑部江西司郎中,,中央中樞官署類,六部門,刑部
xing bu jiang xi si yuan wai lang,刑部江西司員外郎,Vice Director of the Jiangxi Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu jiang xi si zhu shi,刑部江西司主事,Secretary of the Jiangxi Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu lang zhong,刑部郎中,Director of a Bureau in the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu shan dong si lang zhong,刑部山東司郎中,Director of the Shandong Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu shan dong si yuan wai lang,刑部山東司員外郎,Vice Director of the Shandong Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu shan dong si zhu shi,刑部山東司主事,Secretary of the Shandong Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu shan xi si lang zhong,刑部山西司郎中,Director of the Shanxi Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu shan xi si lang zhong,刑部陜西司郎中,Director of the Shaanxi Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu shan xi si yuan wai lang,刑部山西司員外郎,,中央中樞官署類,六部門,刑部
xing bu shan xi si yuan wai lang,刑部陝西司員外郎,Vice Director of the Shaanxi Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu shan xi si zhu shi,刑部山西司主事,Secretary of the Shanxi Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu shan xi si zhu shi,刑部陜西司主事,Secretary of the Shaanxi Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu shang shu,刑部尚書,Minister of Justice,中央中樞官署類,六部門,刑部
xing bu shi lang,刑部侍郎,Vice Minister of Justice,中央中樞官署類,六部門,刑部
xing bu shu yuan wai lang,刑部署員外郎,In Charge of the Vice Director of a Bureau in the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu si chuan si lang zhong,刑部四川司郎中,Director of the Sichuan Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu si chuan si yuan wai lang,刑部四川司員外郎,Vice Director of the Sichuan Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu si chuan si zhu shi,刑部四川司主事,Secretary of the Sichuan Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu si men bu lang zhong,刑部司門部郎中,,中央中樞官署類,六部門,刑部
xing bu si men bu yuan wai lang,刑部司門部員外郎,,中央中樞官署類,六部門,刑部
xing bu si men bu zhu shi,刑部司門部主事,,中央中樞官署類,六部門,刑部
xing bu si wu ting si wu,刑部司務廳司務,,中央中樞官署類,六部門,刑部
xing bu si yu si si yu,刑部司獄司司獄,,中央中樞官署類,六部門,刑部
xing bu xian bu lang zhong,刑部憲部郎中,,中央中樞官署類,六部門,刑部
xing bu xian bu yuan wai lang,刑部憲部員外郎,,中央中樞官署類,六部門,刑部
xing bu xian bu zhu shi,刑部憲部主事,,中央中樞官署類,六部門,刑部
xing bu xing cao jian jiao ,行部刑曹檢校,,中央中樞官署類,六部門,刑部
xing bu xing cao lang zhong ,行部刑曹郎中,,中央中樞官署類,六部門,刑部
xing bu xing cao si yu,行部刑曹司獄,,中央中樞官署類,六部門,刑部
xing bu xing cao yuan wai lang,行部刑曹員外郎,,中央中樞官署類,六部門,刑部
xing bu xing cao zhao mo,行部刑曹照磨,,中央中樞官署類,六部門,刑部
xing bu xing cao zhu shi,行部刑曹主事,,中央中樞官署類,六部門,刑部
xing bu you shi lang,刑部右侍郎,Right Vice Minister of Justice,中央中樞官署類,六部門,刑部
xing bu you shi zhong,刑部右侍中,,中央中樞官署類,六部門,刑部
xing bu yuan wai lang,刑部員外郎,Vice Director of a Bureau in the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu yun nan si lang zhong,刑部雲南司郎中,,中央中樞官署類,六部門,刑部
xing bu yun nan si yuan wai lang,刑部雲南司員外郎,Vice Director of the Yunnan Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu yun nan si zhu shi,刑部雲南司主事,Secretary of the Yunnan Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu zhao mo suo jian jiao ,刑部照磨所檢校,,中央中樞官署類,六部門,刑部
xing bu zhao mo suo zhao mo,刑部照磨所照磨,,中央中樞官署類,六部門,刑部
xing bu zhe jiang si lang zhong,刑部浙江司郎中,,中央中樞官署類,六部門,刑部
xing bu zhe jiang si yuan wai lang,刑部浙江司員外郎,Vice Director of the Zhejiang Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu zhe jiang si zhu shi,刑部浙江司主事,Secretary of the Zhejiang Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu zhu shi,刑部主事,Secretary of a Bureau in the Ministry of Justice,中央中樞官署類,六部門,刑部
xing bu zong bu lang zhong,刑部總部郎中,,中央中樞官署類,六部門,刑部
xing bu zong bu yuan wai lang,刑部總部員外郎,,中央中樞官署類,六部門,刑部
xing bu zong bu zhu shi,刑部總部主事,,中央中樞官署類,六部門,刑部
xing bu zuo shi lang,刑部左侍郎,Left Vice Minister of Justice,中央中樞官署類,六部門,刑部
xing bu zuo shi zhong,刑部左侍中,,中央中樞官署類,六部門,刑部
xing zai xing bu guang dong si lang zhong,行在刑部廣東司郎中,Auxiliary Director of the Guangdong Bureau of the Ministry of Justice,中央中樞官署類,六部門,刑部
xing zai xing bu lang zhong,行在刑部郎中,Auxiliary Director of a Bureau in the Ministry of Justice,中央中樞官署類,六部門,刑部
xing zai xing bu shang shu,行在刑部尚書,Auxiliary Minister of Justice,中央中樞官署類,六部門,刑部
xing zai xing bu you shi lang,行在刑部右侍郎,Auxiliary Right Vice Minister of Justice,中央中樞官署類,六部門,刑部
xing zai xing bu yuan wai lang,行在刑部員外郎,,中央中樞官署類,六部門,刑部
xing zai xing bu zhu shi,行在刑部主事,Auxiliary Secretary of a Bureau in the Ministry of Justice,中央中樞官署類,六部門,刑部
xing zai xing bu zuo shi lang,行在刑部左侍郎,,中央中樞官署類,六部門,刑部
xu xing,恤刑,,中央中樞官署類,六部門,刑部
du cao shi lang,督漕侍郎,Vice Minister of the Chief Transport Office,中央中樞官署類,六部門,工部
du shui si can yi,都水司參議,,中央中樞官署類,六部門,工部
du shui si lang zhong,都水司郎中,Director of the Bureau of Waterways,中央中樞官署類,六部門,工部
du shui si zhu shi,都水司主事,,中央中樞官署類,六部門,工部
gong bu shui bu lang zhong,工部水部郎中,,中央中樞官署類,六部門,工部
gong bu shui bu yuan wai lang,工部水部員外郎,,中央中樞官署類,六部門,工部
gong bu shui bu zhu shi,工部水部主事,,中央中樞官署類,六部門,工部
gong bu tun tian bu lang zhong,工部屯田部郎中,,中央中樞官署類,六部門,工部
gong bu tun tian bu yuan wai lang,工部屯田部員外郎,,中央中樞官署類,六部門,工部
gong bu tun tian bu zhu shi,工部屯田部主事,,中央中樞官署類,六部門,工部
gong bu ying bu lang zhong,工部營部郎中,,中央中樞官署類,六部門,工部
gong bu ying bu yuan wai lang,工部營部員外郎,,中央中樞官署類,六部門,工部
gong bu ying bu zhu shi,工部營部主事,,中央中樞官署類,六部門,工部
gong bu yu bu lang zhong,工部虞部郎中,,中央中樞官署類,六部門,工部
gong bu yu bu yuan wai lang,工部虞部員外郎,,中央中樞官署類,六部門,工部
gong bu yu bu zhu shi,工部虞部主事,,中央中樞官署類,六部門,工部
gong bu zong bu lang zhong,工部總部郎中,,中央中樞官署類,六部門,工部
gong bu zong bu yuan wai lang,工部總部員外郎,,中央中樞官署類,六部門,工部
gong bu zong bu zhu shi,工部總部主事,,中央中樞官署類,六部門,工部
gong bu an pei ju da shi,工部鞍轡局大使,,中央中樞官署類,六部門,工部
gong bu an pei ju fu shi,工部鞍轡局副使,,中央中樞官署類,六部門,工部
gong bu bai he chou fen zhu mu ju da shi,工部白河抽分竹木局大使,,中央中樞官署類,六部門,工部
gong bu bai he chou fen zhu mu ju fu shi,工部白河抽分竹木局副使,,中央中樞官署類,六部門,工部
gong bu bao yuan ju da shi,工部寶源局大使,,中央中樞官署類,六部門,工部
gong bu bao yuan ju fu shi,工部寶源局副使,,中央中樞官署類,六部門,工部
gong bu chai tan si da shi,工部柴炭司大使,,中央中樞官署類,六部門,工部
gong bu chai tan si fu shi,工部柴炭司副使,,中央中樞官署類,六部門,工部
gong bu da tong guan ti ju si dian shi,工部大通關提舉司典史,,中央中樞官署類,六部門,工部
gong bu da tong guan ti ju si fu ti ju,工部大通關提舉司副提舉,,中央中樞官署類,六部門,工部
gong bu da tong guan ti ju si ti ju,工部大通關提舉司提舉,,中央中樞官署類,六部門,工部
gong bu du shui si lang zhong,工部都水司郎中,Director of Waterways of the Ministry of Works,中央中樞官署類,六部門,工部
gong bu du shui si yuan wai,工部都水司員外,Vice Director of the Bureau of Waterways of the Ministry of Works,中央中樞官署類,六部門,工部
gong bu du shui si yuan wai lang,工部都水司員外郎,Vice Director of the Bureau of Waterways of the Ministry of Works,中央中樞官署類,六部門,工部
gong bu du shui si zhu shi,工部都水司主事,Secretary of the Bureau of the Waterways of Ministry of Works,中央中樞官署類,六部門,工部
gong bu guang ji chou fen zhu mu ju da shi,工部廣積抽分竹木局大使,,中央中樞官署類,六部門,工部
gong bu guang ji chou fen zhu mu ju fu shi,工部廣積抽分竹木局副使,,中央中樞官署類,六部門,工部
gong bu ji shi zhong,工部給事中,,中央中樞官署類,六部門,工部
gong bu jiang zuo si cheng,工部將作司丞,,中央中樞官署類,六部門,工部
gong bu jiang zuo si qing,工部將作司卿,,中央中樞官署類,六部門,工部
gong bu jiang zuo si shao qing,工部將作司少卿,,中央中樞官署類,六部門,工部
gong bu jie shen ku da shi,工部節慎庫大使,,中央中樞官署類,六部門,工部
gong bu jun qi ju da shi,工部軍器局大使,,中央中樞官署類,六部門,工部
gong bu jun qi ju fu shi,工部軍器局副使,,中央中樞官署類,六部門,工部
gong bu lang zhong,工部郎中,Director of a Bureau in the Ministry of Works,中央中樞官署類,六部門,工部
gong bu lu gou qiao chou fen zhu mu ju da shi,工部盧溝穚抽分竹木局大使,,中央中樞官署類,六部門,工部
gong bu lu gou qiao chou fen zhu mu ju fu shi,工部盧溝穚抽分竹木局副使,,中央中樞官署類,六部門,工部
gong bu pi zuo ju da shi,工部皮作局大使,,中央中樞官署類,六部門,工部
gong bu pi zuo ju fu shi,工部皮作局副使,,中央中樞官署類,六部門,工部
gong bu shang shu,工部尚書,Minister of Works,中央中樞官署類,六部門,工部
gong bu shi lang,工部侍郎,Vice Minister of Works,中央中樞官署類,六部門,工部
gong bu si wu,工部司務,Director of General Services of the Ministry of Works,中央中樞官署類,六部門,工部
gong bu ti ju si dian bu,工部提舉司典簿,,中央中樞官署類,六部門,工部
gong bu ti ju si fu ti ju,工部提舉司副提舉,,中央中樞官署類,六部門,工部
gong bu ti ju si si cheng,工部提舉司司程,,中央中樞官署類,六部門,工部
gong bu ti ju si tong ti ju,工部提舉司同提舉,,中央中樞官署類,六部門,工部
gong bu tong ji chou fen zhu mu ju da shi,工部通積抽分竹木局大使,,中央中樞官署類,六部門,工部
gong bu tong ji chou fen zhu mu ju fu shi,工部通積抽分竹木局副使,,中央中樞官署類,六部門,工部
gong bu tong zhou chou fen zhu mu ju da shi,工部通州抽分竹木局大使,,中央中樞官署類,六部門,工部
gong bu tong zhou chou fen zhu mu ju fu shi,工部通州抽分竹木局副使,,中央中樞官署類,六部門,工部
gong bu tun tian si lang zhong,工部屯田司郎中,,中央中樞官署類,六部門,工部
gong bu tun tian si yuan wai lang,工部屯田司員外郎,Vice Director of the Bureau of State Farms of the Ministry of Works,中央中樞官署類,六部門,工部
gong bu tun tian si zhu shi,工部屯田司主事,Secretary of the Bureau of State Farms of the Ministry of Works,中央中樞官署類,六部門,工部
gong bu wen si yuan da shi,工部文思院大使,,中央中樞官署類,六部門,工部
gong bu wen si yuan fu shi,工部文思院副使,,中央中樞官署類,六部門,工部
gong bu yan liao ju da shi,工部顏料局大使,,中央中樞官署類,六部門,工部
gong bu ying shan si lang zhong,工部營繕司郎中,Director of the Bureau of Construction of the Ministry of Works,中央中樞官署類,六部門,工部
gong bu ying shan si yuan wai lang,工部營繕司員外郎,Vice Director of the Bureau of Construction of the Ministry of Works,中央中樞官署類,六部門,工部
gong bu ying shan si zhu shi,工部營繕司主事,Secretary of the Bureau of Construction of the Ministry of Works,中央中樞官署類,六部門,工部
gong bu ying shan suo suo cheng,工部營膳所所丞,,中央中樞官署類,六部門,工部
gong bu ying shan suo suo fu,工部營膳所所副,,中央中樞官署類,六部門,工部
gong bu ying shan suo suo zheng,工部營膳所所正,,中央中樞官署類,六部門,工部
gong bu you shi lang,工部右侍郎,Right Vice Minister of Works,中央中樞官署類,六部門,工部
gong bu you shi lang du chang shi,工部右侍郎都廠事,Right Vice Minister of Works in Charge of Depots,中央中樞官署類,六部門,工部
gong bu you shi zhong,工部右侍中,,中央中樞官署類,六部門,工部
gong bu you ti ju si ti ju,工部右提舉司提舉,,中央中樞官署類,六部門,工部
gong bu yu heng si lang zhong,工部虞衡司郎中,Director of the Bureau of Forestry and Hunting of the Ministry of Works,中央中樞官署類,六部門,工部
gong bu yu heng si yuan wai lang,工部虞衡司員外郎,Vice Director of the Bureau of Forestry and Hunting of the Ministry of Works,中央中樞官署類,六部門,工部
gong bu yu heng si zhu shi,工部虞衡司主事,Secretary of the Bureau of Forestry and Hunting of the Ministry of Works,中央中樞官署類,六部門,工部
gong bu yuan wai lang,工部員外郎,Vice Director of a Bureau in the Ministry of Works,中央中樞官署類,六部門,工部
gong bu zhao mo,工部照磨,Record Keeper in the Ministry of Works,中央中樞官署類,六部門,工部
gong bu zhi ran suo za zao ju da shi,工部織染所、雜造局大使,,中央中樞官署類,六部門,工部
gong bu zhi ran suo za zao ju fu shi,工部織染所、雜造局副使,,中央中樞官署類,六部門,工部
gong bu zhu shi,工部主事,Secretary of a Bureau in the Ministry of Works,中央中樞官署類,六部門,工部
gong bu zuo shi lang,工部左侍郎,Left Vice Minister of Works,中央中樞官署類,六部門,工部
gong bu zuo shi zhong,工部左侍中,,中央中樞官署類,六部門,工部
gong bu zuo ti ju si ti ju,工部左提舉司提舉,,中央中樞官署類,六部門,工部
jun xu ku da shi,工部軍需庫大使,,中央中樞官署類,六部門,工部
jun xu ku fu shi,工部軍需庫副使,,中央中樞官署類,六部門,工部
shan si yuan wai lang,繕司員外郎,Vice Director of the Bureau of Construction of the Ministry of Works,中央中樞官署類,六部門,工部
shan si zhu shi,繕司主事,Secretary of the Bureau of Construction of the Ministry of Works,中央中樞官署類,六部門,工部
ti du yi zhou shan chang,提督易州山廠,,中央中樞官署類,六部門,工部
xing  zai gong bu lang zhong,行在工部郎中,,中央中樞官署類,六部門,工部
xing bu gong cao lang zhong,行部工曹郎中,,中央中樞官署類,六部門,工部
xing bu gong cao yuan wai lang,行部工曹員外郎,,中央中樞官署類,六部門,工部
xing bu gong cao zhu shi,行部工曹主事,,中央中樞官署類,六部門,工部
xing zai gong bu shang shu,行在工部尚書,,中央中樞官署類,六部門,工部
xing zai gong bu you shi lang,行在工部右侍郎,,中央中樞官署類,六部門,工部
xing zai gong bu yuan wai lang,行在工部員外郎,,中央中樞官署類,六部門,工部
xing zai gong bu zhu shi,行在工部主事,,中央中樞官署類,六部門,工部
xing zai gong bu zuo shi lang,行在工部左侍郎,Auxiliary Left Vice Minister of Works,中央中樞官署類,六部門,工部
ying shan si zhu shi,營繕司主事,Secretary of the Bureau of Construction of the Ministry of Works,中央中樞官署類,六部門,工部
guang dong si lang zhong,廣東司郎中,,中央中樞官署類,六部門,
gui zhou si yuan wai lang,貴州司員外郎,,中央中樞官署類,六部門,
shan xi si lang zhong,山西司郎中,,中央中樞官署類,六部門,
shan xi si yuan wai lang,陝西司員外郎,,中央中樞官署類,六部門,
xing bu shang shu,行部尚書,Acting Minister of a Ministry,中央中樞官署類,六部門,
xing bu shi lang,行部侍郎,,中央中樞官署類,六部門,
xing bu xiang shi kao shi guan,行部鄉試考試官,Examining Official of a Provincial Examination,中央中樞官署類,六部門,
xing bu zuo shi lang,行部左侍郎,Acting Left Vice Minister of a Ministry,中央中樞官署類,六部門,
yun nan si zhu shi,雲南司主事,,中央中樞官署類,六部門,
zhe jiang qing li si lang zhong,浙江清吏司郎中,,中央中樞官署類,六部門,
zhe jiang si lang zhong,浙江司郎中,,中央中樞官署類,六部門,
gu ming da chen,顧命大臣,Grand Minister Regent,中央中樞官署類,,
yi zheng da chen,議政大臣,Grand Minister of the Deliberative Council,中央中樞官署類,,
da chen,大臣,Grand Minister,中央中樞官署類,,
shi zhong,侍中,Director of the Chancellery,中央中樞官署類,,
si fu guan,四輔官,Advisor to the Heir Apparent in Charge of Four Supports,中央中樞官署類,,
cheng chi lang,承敕郎,Director for the Receipt of Edicts,中央輔佐官署類,秘書門,中書科
zhong shu,中書,Secretariat,中央輔佐官署類,秘書門,中書科
zhong shu she ren,中書舍人,Secretariat Drafter,中央輔佐官署類,秘書門,中書科
zhong shu shu ji shi,中書庶吉士,Bachelor in the Secretariat,中央輔佐官署類,秘書門,中書科
he men shi,閤門使,Commissioner of the Memorial Reception Staff,中央輔佐官署類,秘書門,中書科
cheng tian da zhi fu zong cai guan,承天大誌副總裁官,Vice Director-general,中央輔佐官署類,秘書門,史官
cheng tian da zhi zong cai guan,承天大誌總裁官,Director-general,中央輔佐官署類,秘書門,史官
cui zuan guan,催纂官,Expediter of Compilation,中央輔佐官署類,秘書門,史官
da dian zong jiao guan,大典總校官,Chief Proofreader of Rites,中央輔佐官署類,秘書門,史官
da li quan shu zong cai guan,大禮全書總裁官,Director-general,中央輔佐官署類,秘書門,史官
da ming hui dian fu zong cai,大明會典副總裁,Vice Director-general,中央輔佐官署類,秘書門,史官
da ming hui dian fu zong cai guan,大明會典副總裁官,Vice Director-general,中央輔佐官署類,秘書門,史官
da ming hui dian zong cai,大明會典總裁,Director-general,中央輔佐官署類,秘書門,史官
da ming hui dian zong cai guan,大明會典總裁官,Director-general,中央輔佐官署類,秘書門,史官
da ming hui dian zuan xiu guan,大明會典纂修官,Compiler,中央輔佐官署類,秘書門,史官
da ming ri li cui zuan guan,大明日曆催纂官,Expediter of Compilation,中央輔佐官署類,秘書門,史官
fu zong cai,副總裁,Vice Director-general,中央輔佐官署類,秘書門,史官
fu zong cai guan,副總裁官,Vice Director-general,中央輔佐官署類,秘書門,史官
huan yu tong zhi bian zuan,寰宇通志編纂,Compiler,中央輔佐官署類,秘書門,史官
huan yu tong zhi zong cai,寰宇通志總裁,Director-general,中央輔佐官署類,秘書門,史官
huan yu tong zhi zuan xiu guan,寰宇通志纂修官,Compiler,中央輔佐官署類,秘書門,史官
hui dian fu zong cai,會典副總裁,Vice Director-general,中央輔佐官署類,秘書門,史官
hui dian zong cai,會典總裁,Director-general,中央輔佐官署類,秘書門,史官
hui dian zuan xiu guan,會典纂修官,Compiler,中央輔佐官署類,秘書門,史官
li dai jun jian bian zuan guan,歷代君鑒編纂官,Compiling Official,中央輔佐官署類,秘書門,史官
ming xi zong shi lu zong cai guan,明熹宗實錄總裁官,Director-general,中央輔佐官署類,秘書門,史官
ren zong huang di shi lu zuan xiu jian kao jiao guan,仁宗皇帝實錄纂修兼考校官,Compiler and Proofreader,中央輔佐官署類,秘書門,史官
ren zong shi lu zong cai guan,仁宗實錄總裁官,Director-general,中央輔佐官署類,秘書門,史官
san chao yao dian zong cai guan,三朝要典總裁官,Director-general,中央輔佐官署類,秘書門,史官
shi lu fu zong cai,實錄副總裁,Vice Director-general,中央輔佐官署類,秘書門,史官
shi lu jian xiu guan,實錄監修官,Chief Compiler,中央輔佐官署類,秘書門,史官
shi lu zong cai guan,實錄總裁官,Director-general,中央輔佐官署類,秘書門,史官
shi lu zuan xiu guan,實錄纂修官,Compiler,中央輔佐官署類,秘書門,史官
shi miao shi lu zuan xiu guan,世廟實錄纂修官,Compiler,中央輔佐官署類,秘書門,史官
shi zong shi lu fu zong cai,世宗實錄副總裁,Vice Director-general,中央輔佐官署類,秘書門,史官
shi zong shi lu zong cai,世宗實錄總裁,Director-general,中央輔佐官署類,秘書門,史官
shi zong shi lu zong cai guan,世宗實錄總裁官,Director-general,中央輔佐官署類,秘書門,史官
shi zong shi lu zuan xiu guan,世宗實錄纂修官,Compiler,中央輔佐官署類,秘書門,史官
shou zhang wen shu guan,收掌文書官,Archivist,中央輔佐官署類,秘書門,史官
tai zong huang di shi lu zuan xiu jian kao jiao guan,太宗皇帝實錄纂修兼考校官,Compiler and Proofreader,中央輔佐官署類,秘書門,史官
tai zong shi lu zong cai guan,太宗實錄總裁官,Director-general,中央輔佐官署類,秘書門,史官
wen xian da cheng zong cai guan,文獻大成總裁官,Director-general,中央輔佐官署類,秘書門,史官
wu jing si shu xing li da quan zuan xiu guan,五經四書性理大全纂修官,Compiler,中央輔佐官署類,秘書門,史官
wu zong shi lu zong cai guan,武宗實錄總裁官,Director-general,中央輔佐官署類,秘書門,史官
wu zong shi lu zuan xiu guan,武宗實錄纂修官,Compiler,中央輔佐官署類,秘書門,史官
xian miao shi lu zuan xiu guan,憲廟實錄纂修官,Compiler,中央輔佐官署類,秘書門,史官
xian zong shi lu zuan xiu guan,憲宗實錄纂修官,Compiler,中央輔佐官署類,秘書門,史官
xiao miao shi lu yu xiu guan,孝廟實錄預修官,,中央輔佐官署類,秘書門,史官
xiao miao shi lu zuan xiu guan,孝廟實錄纂修官,Compiler,中央輔佐官署類,秘書門,史官
xiao zong shi lu fu zong cai,孝宗實錄副總裁,Vice Director-general,中央輔佐官署類,秘書門,史官
xiao zong shi lu zuan xiu guan,孝宗實錄纂修官,Compiler,中央輔佐官署類,秘書門,史官
xiu shi guan,修史官,,中央輔佐官署類,秘書門,史官
xiu zuan guan,修纂官,Compiler,中央輔佐官署類,秘書門,史官
xuan zong huang di shi lu ji kao ? dui bing cui zuan guan,宣宗皇帝實錄稽考▫對并催纂官,Expediter of Compilation,中央輔佐官署類,秘書門,史官
xuan zong shi lu zong cai guan,宣宗實錄總裁官,Director-general in Charge of Imperial True Records,中央輔佐官署類,秘書門,史官
yuan shi zong cai guan,元史總裁官,Director-general of the History of Yuan,中央輔佐官署類,秘書門,史官
zhan shu guan,展書官,,中央輔佐官署類,秘書門,史官
ji kao can dui guan,稽考參對官,,中央輔佐官署類,秘書門,史官
mu zong shi lu zong cai,穆宗實錄總裁,Director-general,中央輔佐官署類,秘書門,史官
si yi cheng dian jian xiu guan,祀儀成典監修官,Chief Compiler,中央輔佐官署類,秘書門,史官
si yi cheng dian zong cai guan,祀儀成典總裁官,Director-general,中央輔佐官署類,秘書門,史官
su zong shi lu zong cai,肅宗實錄總裁,Director-general,中央輔佐官署類,秘書門,史官
tong jian zuan yao yu xiu guan,通鑑纂要預修官,,中央輔佐官署類,秘書門,史官
xian huang di shi lu fu zong cai guan,獻皇帝實錄副總裁官,Vice Director-general,中央輔佐官署類,秘書門,史官
ying zong rui huang di shi lu fu zong cai,英宗睿皇帝實錄副總裁,Vice Director-general in Charge of Imperial True Records,中央輔佐官署類,秘書門,史官
ying zong rui huang di shi lu zong cai,英宗睿皇帝實錄總裁,Director-general in Charge of Imperial True Records,中央輔佐官署類,秘書門,史官
yu die guan fu zong cai,玉牒館副總裁,Vice Director-general of the Imperial Genealogy Office,中央輔佐官署類,秘書門,史官
yu die zuan xiu guan,玉牒纂修官,Compiler of the Imperial Genealogy Office,中央輔佐官署類,秘書門,史官
zhong lu yong le da dian fen jiao guan,重錄永樂大典分校官,Proofreader,中央輔佐官署類,秘書門,史官
zhong shu lei chao ji gong rui xian huang di bao xun shi lu zong shi jing li guan,重書累朝及恭睿献皇帝寶訓實錄總視經理官,,中央輔佐官署類,秘書門,史官
zong cai guan,總裁官,Director-general,中央輔佐官署類,秘書門,史官
zong cai jian zuan xiu guan,總裁兼纂修官,Director-general and Compiler,中央輔佐官署類,秘書門,史官
zong shi jing li guan,總視經理官,,中央輔佐官署類,秘書門,史官
zuan xiu fu zong cai,纂修副總裁,Vice Director-general for Compilation,中央輔佐官署類,秘書門,史官
zuan xiu shi lu fu zong cai,纂修實錄副總裁,Vice Director-general Compiling the Chronicles,中央輔佐官署類,秘書門,史官
