Series,official_pinyin,official_Chinese,official_translation,Institution 1,Institution 2,Institution 3
3941,nei jian,內監,Eunuch,跨類官名類,,
3942,bai guan,稗官,Petty Ofticial,跨類官名類,,
3943,bai jiang,稗將,Assistant General,跨類官名類,,
3944,shan zhang,山長,Dean,跨類官名類,,
3945,shao jian,少監,Vice Director,跨類官名類,,
3946,shao qing,少卿,Vice Minister,跨類官名類,,
3947,shao ling,少令,Vice Director,跨類官名類,,
3948,shi lang,侍郎,Vice Minister,跨類官名類,,
3949,shi cong,侍從,Attendant,跨類官名類,,
3950,shou ling guan,首領官,Staff Supervisor,跨類官名類,,
3951,shu zheng,署正,Office Director,跨類官名類,,
3952,si yue,司樂,,跨類官名類,,
3953,shu ban,書辦,Clerical Subofficial,跨類官名類,,
3954,shuai,帥,Commander,跨類官名類,,
3955,si zhang,司仗,Swordsman/Directress of the Clothing office,跨類官名類,,
3956,si ji,司計,Account Keeper/Directress of Accounts,跨類官名類,,
3957,si guan,司官,Administrative Associates,跨類官名類,,
3958,si yu,司獄,Warder,跨類官名類,,
3959,si yue,司樂,Directress of Music,跨類官名類,,
3960,da shi,大使,Commissioner-in-chief ,跨類官名類,,
3961,da shuai,大帥,Grand Marshal,跨類官名類,,
3962,tai sheng,臺省,Censors and Supervising Secretaries,跨類官名類,,
3963,dao cong,導從,Guides and Followers,跨類官名類,,
3964,ti ju,提舉,Supervisor,跨類官名類,,
3965,dian shan,典膳,Manager of Foods,跨類官名類,,
3966,can jun shi,參軍事,Adjutant or Administrator,跨類官名類,,
3967,zuo ling,佐領,Staff Administrator,跨類官名類,,
3968,zong jian,總監,Supervisor-general,跨類官名類,,
3969,cong guan,從官,Supporting Official,跨類官名類,,
3970,tu guan,土官,Aboriginal Official,跨類官名類,,
3971,dong zhu,洞主,Dean,跨類官名類,,
3972,tong shi she ren,通事舍人,Secretarial Receptionist,跨類官名類,,
3973,you cheng,右丞,Right Aide,跨類官名類,,
3974,zuo cheng,左丞,Left Aide,跨類官名類,,
3975,yuan shuai,元帥,Marshal,跨類官名類,,
3976,yuan wai,員外,Supernumerary,跨類官名類,,
3977,wang fu wei yi si si zhang,王府儀衛司司仗,Swordsman,皇族宮廷類,宗室門,王府長史司
3978,wang fu cang fu shi,王府倉副使,,皇族宮廷類,宗室門,王府長史司
3979,wang fu ku fu shi,王府庫副使,,皇族宮廷類,宗室門,王府長史司
3980,wang fu gong zheng suo gong fu,王府工正所工副,,皇族宮廷類,宗室門,王府長史司
3981,huang men guan men fu,皇門官門副,,皇族宮廷類,宦官門,內使監
3982,chun gong men guan fu,春宮門官副,,皇族宮廷類,宦官門,內使監
3983,shang ran ju ju fu,尚染局局副,,皇族宮廷類,宦官門,尚染局
3984,shang jiu ju ju fu,尚酒局局副,,皇族宮廷類,宦官門,尚酒局
3985,shang cu ju ju fu,尚醋局局副,,皇族宮廷類,宦官門,尚醋局
3986,shang mian ju ju fu,尚麵局局副,,皇族宮廷類,宦官門,尚麵局
3987,yu yong si si fu,御用司司副,,皇族宮廷類,宦官門,御用司
3988,wang fu liang yi suo liang yi fu,王府良醫所良醫副,,皇族宮廷類,宗室門,王府長史司
3989,wang fu shen li suo shen li fu,王府審理所審理副,,皇族宮廷類,宗室門,王府長史司
3990,wang fu dian yi suo dian yi fu ,王府典儀所典儀副,,皇族宮廷類,宗室門,王府長史司
3991,wang fu dian bao suo dian bao fu,王府典寶所典寶副,,皇族宮廷類,宗室門,王府長史司
3992,wang fu dian shan suo dian shan fu,王府典膳所典膳副,,皇族宮廷類,宗室門,王府長史司
3993,yu ma si si fu,御馬司司副,,皇族宮廷類,宦官門,御馬司
3994,wang fu feng ci suo feng ci zheng,王府奉祠所奉祠正,,皇族宮廷類,宗室門,王府長史司
3995,wang fu feng ci suo feng ci fu,王府奉祠所奉祠副,,皇族宮廷類,宗室門,王府長史司
3996,wang fu liang yi suo liang yi zheng,王府良醫所良醫正,,皇族宮廷類,宗室門,王府長史司
3997,wang fu shen li suo shen li zheng,王府審理所審理正,,皇族宮廷類,宗室門,王府長史司
3998,wang fu dian yi suo dian yi zheng,王府典儀所典儀正,,皇族宮廷類,宗室門,王府長史司
3999,wang fu dian bao suo dian bao zheng,王府典寶所典寶正,,皇族宮廷類,宗室門,王府長史司
4000,wang fu dian shan suo dian shan zheng,王府典膳所典膳正,,皇族宮廷類,宗室門,王府長史司
4001,tai huang tai fei,太皇太妃,,皇族宮廷類,帝后門,內命婦
4002,huang tai fei,皇太妃,,皇族宮廷類,帝后門,內命婦
4003,shu nv,淑女,,皇族宮廷類,帝后門,內命婦
4004,qin wang,親王,Imperial Prince,皇族宮廷類,宗室門,
4005,da han jiang jun,大漢將軍,Elite Guard,京衛京營與中央軍事官署類,京衛門,錦衣衛
4006,xian he po suo ba guan,縣河泊所壩官,,地方官署類,縣官門,縣官
4007,ba guan,壩官,,地方官署類,縣官門,縣官
